date,inflow_cumecs
2015-01-01,169.86856612044932
2015-01-02,144.4694279531526
2015-01-03,175.9075415240277
2015-01-04,210.92119425632103
2015-01-05,140.63386501106658
2015-01-06,140.6345217220328
2015-01-07,213.16851262029564
2015-01-08,180.69738916611635
2015-01-09,131.2210245626019
2015-01-10,171.7024017434386
2015-01-11,131.4632922875015
2015-01-12,131.37080985718973
2015-01-13,159.67849086264135
2015-01-14,73.46879021368808
2015-01-15,81.00328669947869
2015-01-16,127.50849883036109
2015-01-17,109.48675518662304
2015-01-18,162.56989330381094
2015-01-19,113.67903697915156
2015-01-20,93.50785194658835
2015-01-21,208.62595075686215
2015-01-22,140.9689479805386
2015-01-23,152.70112818751696
2015-01-24,93.01007255146173
2015-01-25,128.2246910189927
2015-01-26,154.43690358839464
2015-01-27,103.96025690310789
2015-01-28,165.02792073382687
2015-01-29,125.9744524032478
2015-01-30,138.33225000826894
2015-01-31,125.93173551082413
2015-02-01,224.0911273803575
2015-02-02,149.46011101048265
2015-02-03,107.69156284176398
2015-02-04,182.90179648412754
2015-02-05,101.1662540011591
2015-02-06,158.3545438001902
2015-02-07,71.61319504480898
2015-02-08,96.87255804406277
2015-02-09,157.87444943476493
2015-02-10,179.53866319981643
2015-02-11,156.8547312475988
2015-02-12,145.37406870447037
2015-02-13,137.95585217642844
2015-02-14,90.8591203853029
2015-02-15,121.20623166421166
2015-02-16,131.5744491616085
2015-02-17,192.2848890487566
2015-02-18,163.74473158273847
2015-02-19,79.47839378549064
2015-02-20,162.9633587757918
2015-02-21,134.59670878334734
2015-02-22,122.92311998776165
2015-02-23,174.46705155363472
2015-02-24,191.23998089983803
2015-02-25,187.25120476464795
2015-02-26,116.43129907109446
2015-02-27,137.63150496595142
2015-02-28,163.25053725614256
2015-03-01,189.02180508489437
2015-03-02,130.8330304861884
2015-03-03,142.5736409334473
2015-03-04,105.74660103975887
2015-03-05,102.15173503677318
2015-03-06,182.50103289576793
2015-03-07,204.24960114283292
2015-03-08,147.11959513678664
2015-03-09,190.14131591568096
2015-03-10,164.46544100190536
2015-03-11,124.19520981579502
2015-03-12,164.45582422033655
2015-03-13,211.52146265863877
2015-03-14,148.56695843560195
2015-03-15,212.58574623256024
2015-03-16,45.21019583641022
2015-03-17,182.87610017500896
2015-03-18,153.48188272952686
2015-03-19,138.0397059813653
2015-03-20,153.6704310614201
2015-03-21,70.49724341596429
2015-03-22,141.2131244864995
2015-03-23,164.28450286046984
2015-03-24,209.11576178966064
