date,reservoir_level
2015-01-01,500.6240154395433
2015-01-02,499.59912209392735
2015-01-03,500.1037290406846
2015-01-04,500.5925710676268
2015-01-05,499.9667828502332
2015-01-06,499.80236487997735
2015-01-07,500.2111453438144
2015-01-08,500.5546464986399
2015-01-09,499.06017908020084
2015-01-10,500.32556909304424
2015-01-11,500.14458721232177
2015-01-12,501.39929321909455
2015-01-13,501.3975604122602
2015-01-14,501.2204355392615
2015-01-15,501.2327277312987
2015-01-16,501.49400559372265
2015-01-17,500.9597309401299
2015-01-18,501.942800493476
2015-01-19,501.5610065672435
2015-01-20,501.9725398768676
2015-01-21,502.03729320873146
2015-01-22,501.98110047649294
2015-01-23,501.97282635026426
2015-01-24,502.02269265619947
2015-01-25,501.9812130340597
2015-01-26,502.2780796892925
2015-01-27,502.2452567493881
2015-01-28,502.04520061653744
2015-01-29,502.5604677126963
2015-01-30,502.50466898833804
2015-01-31,502.9515632483141
2015-02-01,501.81792983714547
2015-02-02,502.6302809027277
2015-02-03,502.39875336099107
2015-02-04,502.55379143892105
2015-02-05,503.05604855207065
2015-02-06,502.3281956393957
2015-02-07,503.02548542501194
2015-02-08,503.0531385487849
2015-02-09,502.68881433375986
2015-02-10,503.2389345707528
2015-02-11,502.9370553890725
2015-02-12,504.1856818680347
2015-02-13,503.8515079835513
2015-02-14,503.4606605398775
2015-02-15,503.3230759901816
2015-02-16,503.75837964025004
2015-02-17,503.9236811865277
2015-02-18,503.7773646394949
2015-02-19,503.32726542051705
2015-02-20,503.70615710678993
2015-02-21,503.87674339447574
2015-02-22,504.016055854876
2015-02-23,504.07854441880687
2015-02-24,504.2976152273182
2015-02-25,504.592868071581
2015-02-26,504.51090244403684
2015-02-27,504.39048657714903
2015-02-28,503.6985290417341
2015-03-01,504.72215626711505
2015-03-02,504.61989256536253
2015-03-03,504.23353403564454
2015-03-04,504.3899432826462
2015-03-05,504.44518129254146
2015-03-06,504.2834132117997
2015-03-07,503.7976018486604
2015-03-08,504.08714108363085
2015-03-09,504.20675572487113
2015-03-10,503.81647457093385
2015-03-11,504.191185439451
2015-03-12,505.1244846514629
2015-03-13,504.89250344381014
2015-03-14,504.3384827497075
2015-03-15,504.47892871853895
2015-03-16,505.27182580304265
2015-03-17,505.286458535632
2015-03-18,504.85572398136844
2015-03-19,505.31935598540525
2015-03-20,504.5633080093453
2015-03-21,504.97940487925973
2015-03-22,504.3160648959357
2015-03-23,504.77596939611595
2015-03-24,504.9473634896867
2015-03-25,504.27508365043764
2015-03-26,505.1978630695975
2015-03-27,505.27473835828437
2015-03-28,505.38367511724095
2015-03-29,505.92002219401854
2015-03-30,505.1586291838483
2015-03-31,504.9704527016835
2015-04-01,504.3579162296514
2015-04-02,505.1567143717932
2015-04-03,505.22341053712904
2015-04-04,504.4554566118653
2015-04-05,504.8985713614387
2015-04-06,504.99432570635327
2015-04-07,505.1954722388966
2015-04-08,505.31847286836336
2015-04-09,504.7521947575421
2015-04-10,505.0367332064335
2015-04-11,505.1735872541091
2015-04-12,504.857822117053
2015-04-13,504.74693021635767
2015-04-14,505.1840732607582
2015-04-15,504.8100313802459
2015-04-16,504.3829149019817
2015-04-17,505.3901584904472
2015-04-18,504.38418437522375
2015-04-19,504.75723157881305
2015-04-20,504.8986534608894
2015-04-21,504.92553328684374
2015-04-22,504.7833946132518
2015-04-23,503.5093996806569
2015-04-24,504.37455952685684
2015-04-25,504.74201810620144
2015-04-26,504.5464331042507
2015-04-27,504.759946680763
2015-04-28,504.9277395785844
2015-04-29,504.6843403062579
2015-04-30,504.1512562758466
2015-05-01,504.1873436398128
2015-05-02,505.0138997975303
2015-05-03,504.2469679733405
