date,inflow_cumecs,upstream_outflow,rainfall_mm,temperature_c,reservoir_level,inflow_lag1,inflow_lag3,inflow_lag7,upstream_lag1,upstream_lag3,rain_3day,rain_5day,inflow_ma3,inflow_ma7,month,dayofyear
2015-01-01,169.86856612044932,200.10680601620749,2.435518503329348,20.407080338433307,500.6240154395433,,,,,,,,,,1,1
2015-01-02,144.4694279531526,155.0180353714669,3.769173654843765,20.328338007396805,499.59912209392735,169.86856612044932,,,200.10680601620749,,,,,,1,2
2015-01-03,175.9075415240277,164.05959508102356,4.715388482120655,19.117341463668392,500.1037290406846,144.4694279531526,,,155.0180353714669,,10.920080640293769,,163.4151785325432,,1,3
2015-01-04,210.92119425632103,210.9700703860668,3.703912675927471,18.84996910838435,500.5925710676268,175.9075415240277,169.86856612044932,,164.05959508102356,200.10680601620749,12.188474812891892,,177.0993879111671,,1,4
2015-01-05,140.63386501106658,148.83141544121213,8.822241880968683,20.73845836783675,499.9667828502332,210.92119425632103,144.4694279531526,,210.9700703860668,155.0180353714669,17.24154303901681,23.44623519718992,175.82086693047177,,1,5
2015-01-06,140.6345217220328,141.22914747240858,3.7976232729472,19.046622870911147,499.80236487997735,140.63386501106658,175.9075415240277,,148.83141544121213,164.05959508102356,16.323777829843355,24.808339966807775,164.06319366314014,,1,6
2015-01-07,213.16851262029564,180.76288616552444,4.841604379356715,21.144782087224808,500.2111453438144,140.6345217220328,210.92119425632103,,141.22914747240858,210.9700703860668,17.4614695332726,25.880770691320727,164.812299784465,170.80051845819224,1,7
2015-01-08,180.69738916611635,167.1135745813885,7.594039078179994,21.073397861287194,500.5546464986399,213.16851262029564,140.63386501106658,169.86856612044932,180.76288616552444,148.83141544121213,16.23326673048391,28.759421287380064,178.16680783614825,172.34749317900182,1,8
2015-01-09,131.2210245626019,147.09331134376652,7.001754860221242,20.214726541823197,499.0601790802008,180.69738916611635,140.6345217220328,144.4694279531526,167.1135745813885,141.22914747240858,19.43739831775795,32.057263471673835,175.0289754496713,170.45486412320884,1,9
2015-01-10,171.7024017434386,196.52494036264704,2.7867973529993044,21.569652400533403,500.3255690930442,131.2210245626019,213.16851262029564,175.9075415240277,147.09331134376652,180.76288616552444,17.38259129140054,26.021818943704456,161.20693849071895,169.85412986883898,1,10
2015-01-11,131.4632922875015,112.39059956278942,8.897397388955527,19.68633685673444,500.14458721232177,171.7024017434386,180.69738916611635,210.92119425632103,196.52494036264704,167.1135745813885,18.685949602176073,31.121593059712783,144.795572864514,158.50300101615048,1,11
