date,temperature_c
2015-01-01,20.407080338433307
2015-01-02,20.328338007396805
2015-01-03,19.117341463668392
2015-01-04,18.84996910838435
2015-01-05,20.73845836783675
2015-01-06,19.046622870911147
2015-01-07,21.144782087224808
2015-01-08,21.073397861287194
2015-01-09,20.214726541823193
2015-01-10,21.569652400533403
2015-01-11,19.68633685673444
2015-01-12,23.927504206000783
2015-01-13,25.090573332401
2015-01-14,19.958320632873974
2015-01-15,20.76742466911925
2015-01-16,19.20423431235293
2015-01-17,19.6344266953308
2015-01-18,20.301543293320286
2015-01-19,23.38337396477159
2015-01-20,21.549757805666307
2015-01-21,21.249792452351972
2015-01-22,24.432114894130297
2015-01-23,24.574857796928786
2015-01-24,22.764523333040472
2015-01-25,20.313693385626806
2015-01-26,21.01704370715481
2015-01-27,23.437609133651726
2015-01-28,25.313536442380432
2015-01-29,22.511222101279905
2015-01-30,24.091010915702782
2015-01-31,27.06675920287097
2015-02-01,21.328406567897595
2015-02-02,25.6262232856574
2015-02-03,22.440759613295786
2015-02-04,23.127362130261606
2015-02-05,24.860326629134736
2015-02-06,21.077670810827865
2015-02-07,23.447398439774382
2015-02-08,21.10282529523162
2015-02-09,25.38535168074291
2015-02-10,24.078004675142743
2015-02-11,26.112436295021936
2015-02-12,23.12632504680605
2015-02-13,22.316772760421998
2015-02-14,21.9479065559411
2015-02-15,24.325730716004113
2015-02-16,25.920464528523624
2015-02-17,22.726727086054414
2015-02-18,28.609483198179667
2015-02-19,24.960013607080107
2015-02-20,24.096292108755605
2015-02-21,25.150656932589722
2015-02-22,24.47094113768725
2015-02-23,24.5620152466869
2015-02-24,24.726027626590252
2015-02-25,29.537172448987334
2015-02-26,25.45284836831041
2015-02-27,24.244091598709858
2015-02-28,24.259606162132965
2015-03-01,27.28430630450049
2015-03-02,25.247000581888646
2015-03-03,27.62242796634942
2015-03-04,27.970344064933567
2015-03-05,24.88263036533139
2015-03-06,25.37862882598227
2015-03-07,27.016657724374035
2015-03-08,25.73018169825878
2015-03-09,24.818456033849376
2015-03-10,24.010335365576747
2015-03-11,27.839227477410184
2015-03-12,25.368856601361657
2015-03-13,28.325573196104685
2015-03-14,25.8350834054554
2015-03-15,27.677448098698722
2015-03-16,30.855401299401837
2015-03-17,28.936025518085156
2015-03-18,27.528443827183654
2015-03-19,24.69495733987508
2015-03-20,32.7515728639605
2015-03-21,32.785506350560574
2015-03-22,25.915806769994337
2015-03-23,26.17062976890052
2015-03-24,30.90901535399835
2015-03-25,27.371433728359936
2015-03-26,25.635132302265838
2015-03-27,25.295529329406822
2015-03-28,31.193202926389795
