date,upstream_outflow
2015-01-01,200.10680601620749
2015-01-02,155.0180353714669
2015-01-03,164.05959508102356
2015-01-04,210.9700703860668
2015-01-05,148.83141544121213
2015-01-06,141.22914747240858
2015-01-07,180.76288616552444
2015-01-08,167.1135745813885
2015-01-09,147.09331134376652
2015-01-10,196.52494036264704
2015-01-11,112.39059956278942
2015-01-12,155.1429754697035
2015-01-13,148.74515244194066
2015-01-14,78.23878782153074
2015-01-15,89.16275249790554
2015-01-16,143.41881726814512
2015-01-17,129.00823059547125
2015-01-18,150.40443365733773
2015-01-19,129.9809043808438
2015-01-20,79.7317853451977
2015-01-21,225.73669236968897
2015-01-22,154.61348636626096
2015-01-23,163.55654396215047
2015-01-24,83.7951828066628
2015-01-25,147.35802792410357
2015-01-26,133.980714161763
2015-01-27,85.3985602046664
2015-01-28,179.3830388270609
2015-01-29,124.73867906559272
2015-01-30,157.64885583799503
2015-01-31,120.05813535400121
2015-02-01,194.35679734935349
2015-02-02,169.5739859845454
2015-02-03,109.79842470949771
2015-02-04,160.1631373134756
2015-02-05,110.08442343267409
2015-02-06,159.05850186137624
2015-02-07,74.60126942196166
2015-02-08,95.35740684338188
2015-02-09,178.63234937257644
2015-02-10,203.2063629655108
2015-02-11,169.99218219700498
2015-02-12,122.42830579524797
2015-02-13,156.6546014893283
2015-02-14,97.07435597957854
2015-02-15,130.75845434747774
2015-02-16,124.36326624178898
2015-02-17,221.4567799984013
2015-02-18,178.50609645747002
2015-02-19,67.16211880251228
2015-02-20,156.9518382693609
2015-02-21,155.39891880668873
2015-02-22,100.65912232051873
2015-02-23,206.66785042035204
2015-02-24,204.94519935719768
2015-02-25,197.09132880099023
2015-02-26,105.74566554031809
2015-02-27,123.80183929569873
2015-02-28,192.11703398814535
2015-03-01,173.76944315048965
2015-03-02,145.25110764008568
2015-03-03,136.47843518703274
2015-03-04,90.48753869838008
2015-03-05,82.15922252982513
2015-03-06,185.7318367831677
2015-03-07,243.120654711164
2015-03-08,139.41854306284714
2015-03-09,179.27986090071715
2015-03-10,154.2088246713913
2015-03-11,125.2157882895944
2015-03-12,160.55262201966954
2015-03-13,243.6655016709223
2015-03-14,148.8950413294081
2015-03-15,213.2454285607476
2015-03-16,38.67047942733328
2015-03-17,218.18871003179518
2015-03-18,138.1320301523777
2015-03-19,114.48262650578049
2015-03-20,163.69873282384972
2015-03-21,73.18646990022269
2015-03-22,136.42010555612234
2015-03-23,159.17145879023124
2015-03-24,232.9603053930095
2015-03-25,113.5351988979685
2015-03-26,132.7326908662098
2015-03-27,137.66038649656448
2015-03-28,180.56746728397277
2015-03-29,160.41099115946741
2015-03-30,116.27112228221814
2015-03-31,187.72799050866413
2015-04-01,154.6755840871414
2015-04-02,175.2206185904328
2015-04-03,126.60196669556686
2015-04-04,164.03864662394295
2015-04-05,130.8375576614966
2015-04-06,106.84987566399003
2015-04-07,151.81152297722693
2015-04-08,131.86634331251074
2015-04-09,132.43486712515215
2015-04-10,136.04339243675497
2015-04-11,82.91239434021954
2015-04-12,106.55144392357029
2015-04-13,158.91587878190867
2015-04-14,134.12748774524877
2015-04-15,157.46085302279215
2015-04-16,144.08339325533515
2015-04-17,191.212212698801
2015-04-18,129.83161160776078
2015-04-19,174.66694783691415
2015-04-20,172.2398729894867
2015-04-21,71.21387452004365
2015-04-22,126.24945421037611
2015-04-23,153.16472039667877
2015-04-24,233.50178116113764
2015-04-25,135.18031764285232
2015-04-26,169.92712197881224
2015-04-27,161.61314252307565
2015-04-28,87.17035877840873
2015-04-29,159.35651715670122
2015-04-30,215.68439200697293
2015-05-01,162.22225218390713
2015-05-02,93.3461880764876
2015-05-03,180.54363419879638
2015-05-04,76.60442719863178
2015-05-05,165.96707272558805
2015-05-06,266.3606951395807
2015-05-07,103.3692642095331
2015-05-08,124.5048361879342
2015-05-09,164.80122040438923
2015-05-10,130.32297087560585
2015-05-11,100.6925141965561
2015-05-12,175.10620341124678
2015-05-13,86.43247219222009
2015-05-14,187.73336563226343
2015-05-15,111.44468631761099
2015-05-16,253.45054105546447
2015-05-17,117.87392936749598
2015-05-18,163.82232893257236
2015-05-19,201.1283953008216
2015-05-20,90.63265284912463
2015-05-21,161.54182925302644
2015-05-22,242.10651310430933
2015-05-23,97.95691575780705
2015-05-24,132.03793270521066
2015-05-25,173.63575207750642
